Index,UniProt accession,UniProt name,Status,Protein name,Gene symbol,Species,Identification number
5879,Q9Y508,RN114_HUMAN,reviewed,"E3 ubiquitin-protein ligase RNF114 (EC 2.3.2.27) (RING finger protein 114) (RING-type E3 ubiquitin transferase RNF114) (Zinc finger protein 228) (Zinc finger protein 313)","RNF114 ZNF228 ZNF313","Homo sapiens (Human)",11
5807,Q96EP0,RNF31_HUMAN,reviewed,"E3 ubiquitin-protein ligase RNF31 (EC 2.3.2.27) (HOIL-1-interacting protein) (HOIP) (RING finger protein 31) (RING-type E3 ubiquitin transferase RNF31) (Zinc in-between-RING-finger ubiquitin-associated domain protein)","RNF31 ZIBRA","Homo sapiens (Human)",11
5749,Q9HCE7,SMUF1_HUMAN,reviewed,"E3 ubiquitin-protein ligase SMURF1 (hSMURF1) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF1) (SMAD ubiquitination regulatory factor 1) (SMAD-specific E3 ubiquitin-protein ligase 1)","SMURF1 KIAA1625","Homo sapiens (Human)",11
5798,Q13822,ENPP2_HUMAN,reviewed,"Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 (E-NPP 2) (EC 3.1.4.39) (Autotaxin) (Extracellular lysophospholipase D) (LysoPLD)","ENPP2 ATX PDNP2","Homo sapiens (Human)",11
5934,Q8NDI1,EHBP1_HUMAN,reviewed,"EH domain-binding protein 1","EHBP1 KIAA0903 NACSIN","Homo sapiens (Human)",11
5903,P26378,ELAV4_HUMAN,reviewed,"ELAV-like protein 4 (Hu-antigen D) (HuD) (Paraneoplastic encephalomyelitis antigen HuD)","ELAVL4 HUD PNEM","Homo sapiens (Human)",11
5965,Q8IZ81,ELMD2_HUMAN,reviewed,"ELMO domain-containing protein 2",ELMOD2,"Homo sapiens (Human)",11
5878,Q7L9B9,EEPD1_HUMAN,reviewed,"Endonuclease/exonuclease/phosphatase family domain-containing protein 1","EEPD1 KIAA1706","Homo sapiens (Human)",11
5822,P29322,EPHA8_HUMAN,reviewed,"Ephrin type-A receptor 8 (EC 2.7.10.1) (EPH- and ELK-related kinase) (EPH-like kinase 3) (EK3) (hEK3) (Tyrosine-protein kinase receptor EEK)","EPHA8 EEK HEK3 KIAA1459","Homo sapiens (Human)",11
5974,C9JKY3,C9JKY3_HUMAN,unreviewed,"Epithelial cell adhesion molecule (Fragment)",EPCAM,"Homo sapiens (Human)",11
5820,B5ME19,EIFCL_HUMAN,reviewed,"Eukaryotic translation initiation factor 3 subunit C-like protein",EIF3CL,"Homo sapiens (Human)",11
5738,P11362,FGFR1_HUMAN,reviewed,"Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331)","FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR","Homo sapiens (Human)",11
5971,H0Y4K8,H0Y4K8_HUMAN,unreviewed,"Fibronectin (Fragment)",FN1,"Homo sapiens (Human)",11
5802,Q6MZW2,FSTL4_HUMAN,reviewed,"Follistatin-related protein 4 (Follistatin-like protein 4)","FSTL4 KIAA1061","Homo sapiens (Human)",11
5914,J3KPS3,J3KPS3_HUMAN,unreviewed,"Fructose-bisphosphate aldolase (EC 4.1.2.13)","ALDOA hCG_1811258","Homo sapiens (Human)",11
5985,H3BPS8,H3BPS8_HUMAN,unreviewed,"Fructose-bisphosphate aldolase A (Fragment)",ALDOA,"Homo sapiens (Human)",11
5719,O15117,FYB_HUMAN,reviewed,"FYN-binding protein (Adhesion and degranulation promoting adaptor protein) (ADAP) (FYB-120/130) (p120/p130) (FYN-T-binding protein) (SLAP-130) (SLP-76-associated phosphoprotein)","FYB SLAP130","Homo sapiens (Human)",11
5850,Q9UKJ3,GPTC8_HUMAN,reviewed,"G patch domain-containing protein 8","GPATCH8 GPATC8 KIAA0553","Homo sapiens (Human)",11
5987,K7ES75,K7ES75_HUMAN,unreviewed,"Galectin-3-binding protein (Fragment)",LGALS3BP,"Homo sapiens (Human)",11
5832,Q9HBI0,PARVG_HUMAN,reviewed,Gamma-parvin,PARVG,"Homo sapiens (Human)",11
5860,Q9UGJ1,GCP4_HUMAN,reviewed,"Gamma-tubulin complex component 4 (GCP-4) (hGCP4) (Gamma-ring complex protein 76 kDa) (h76p) (hGrip76)","TUBGCP4 76P GCP4","Homo sapiens (Human)",11
5796,P57764,GSDMD_HUMAN,reviewed,"Gasdermin-D (Gasdermin domain-containing protein 1) [Cleaved into: Gasdermin-D, N-terminal (GSDMD-NT); Gasdermin-D, C-terminal (GSDMD-CT)]","GSDMD DFNA5L GSDMDC1 FKSG10","Homo sapiens (Human)",11
5826,Q12789,TF3C1_HUMAN,reviewed,"General transcription factor 3C polypeptide 1 (TF3C-alpha) (TFIIIC box B-binding subunit) (Transcription factor IIIC 220 kDa subunit) (TFIIIC 220 kDa subunit) (TFIIIC220) (Transcription factor IIIC subunit alpha)",GTF3C1,"Homo sapiens (Human)",11
5726,P49448,DHE4_HUMAN,reviewed,"Glutamate dehydrogenase 2, mitochondrial (GDH 2) (EC 1.4.1.3)","GLUD2 GLUDP1","Homo sapiens (Human)",11
5747,Q16772,GSTA3_HUMAN,reviewed,"Glutathione S-transferase A3 (EC 2.5.1.18) (GST class-alpha member 3) (Glutathione S-transferase A3-3)",GSTA3,"Homo sapiens (Human)",11
5825,P16520,GBB3_HUMAN,reviewed,"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3 (Transducin beta chain 3)",GNB3,"Homo sapiens (Human)",11
5753,P32456,GBP2_HUMAN,reviewed,"Guanylate-binding protein 2 (EC 3.6.5.-) (GTP-binding protein 2) (GBP-2) (HuGBP-2) (Guanine nucleotide-binding protein 2) (Interferon-induced guanylate-binding protein 2)",GBP2,"Homo sapiens (Human)",11
5830,Q7Z4H7,HAUS6_HUMAN,reviewed,"HAUS augmin-like complex subunit 6","HAUS6 DGT6 FAM29A KIAA1574","Homo sapiens (Human)",11
5772,Q1KLZ0,Q1KLZ0_HUMAN,unreviewed,"HCG15971, isoform CRA_a (PS1TP5-binding protein 1)","PS1TP5BP1 hCG_15971","Homo sapiens (Human)",11
5892,Q6AI08,HEAT6_HUMAN,reviewed,"HEAT repeat-containing protein 6 (Amplified in breast cancer protein 1)","HEATR6 ABC1","Homo sapiens (Human)",11
5976,E9PM13,E9PM13_HUMAN,unreviewed,"Heat shock cognate 71 kDa protein (Fragment)",HSPA8,"Homo sapiens (Human)",11
5961,E9PFT6,E9PFT6_HUMAN,unreviewed,"Hemoglobin subunit delta",HBD,"Homo sapiens (Human)",11
5819,B2RXH8,HNRC2_HUMAN,reviewed,"Heterogeneous nuclear ribonucleoprotein C-like 2 (hnRNP C-like-2)","HNRNPCL2 HNRNPCP5","Homo sapiens (Human)",11
5930,K7EK07,K7EK07_HUMAN,unreviewed,"Histone H3 (Fragment)",H3F3B,"Homo sapiens (Human)",11
5774,P16189,1A31_HUMAN,reviewed,"HLA class I histocompatibility antigen, A-31 alpha chain (MHC class I antigen A*31)","HLA-A HLAA","Homo sapiens (Human)",11
5756,Q29836,1B67_HUMAN,reviewed,"HLA class I histocompatibility antigen, B-67 alpha chain (MHC class I antigen B*67)","HLA-B HLAB","Homo sapiens (Human)",11
5874,Q9TNN7,1C05_HUMAN,reviewed,"HLA class I histocompatibility antigen, Cw-5 alpha chain (MHC class I antigen Cw*5)","HLA-C HLAC","Homo sapiens (Human)",11
5755,Q9TQE0,2B19_HUMAN,reviewed,"HLA class II histocompatibility antigen, DRB1-9 beta chain (MHC class II antigen DRB1*9) (DR-9) (DR9)",HLA-DRB1,"Homo sapiens (Human)",11
5900,P39880,CUX1_HUMAN,reviewed,"Homeobox protein cut-like 1 (CCAAT displacement protein) (CDP) (Homeobox protein cux-1)","CUX1 CUTL1","Homo sapiens (Human)",11
5734,Q96IS6,Q96IS6_HUMAN,unreviewed,"HSPA8 protein (Fragment)",HSPA8,"Homo sapiens (Human)",11
5764,Q6P5S8,Q6P5S8_HUMAN,unreviewed,"IGK@ protein",IGK@,"Homo sapiens (Human)",11
5875,P0CG06,IGLC3_HUMAN,reviewed,"Immunoglobulin lambda constant 3 (Ig lambda chain C region DOT) (Ig lambda chain C region NEWM) (Ig lambda-3 chain C regions)",IGLC3,"Homo sapiens (Human)",11
5912,P01705,LV223_HUMAN,reviewed,"Immunoglobulin lambda variable 2-23 (Ig lambda chain V-II region NEI)",IGLV2-23,"Homo sapiens (Human)",11
5913,P01715,LV301_HUMAN,reviewed,"Immunoglobulin lambda variable 3-1 (Ig lambda chain V-IV region Bau) (Ig lambda chain V-IV region MOL) (Ig lambda chain V-IV region X)",IGLV3-1,"Homo sapiens (Human)",11
5972,J3QR48,J3QR48_HUMAN,unreviewed,"Importin subunit beta-1 (Fragment)",KPNB1,"Homo sapiens (Human)",11
5806,Q96CC6,RHDF1_HUMAN,reviewed,"Inactive rhomboid protein 1 (iRhom1) (Epidermal growth factor receptor-related protein) (Rhomboid 5 homolog 1) (Rhomboid family member 1) (p100hRho)","RHBDF1 C16orf8 DIST1 IRHOM1","Homo sapiens (Human)",11
5852,O43314,VIP2_HUMAN,reviewed,"Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 (EC 2.7.4.21) (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 2) (Histidine acid phosphatase domain-containing protein 1) (InsP6 and PP-IP5 kinase 2) (VIP1 homolog 2) (hsVIP2)","PPIP5K2 HISPPD1 KIAA0433 VIP2","Homo sapiens (Human)",11
5795,P49441,INPP_HUMAN,reviewed,"Inositol polyphosphate 1-phosphatase (IPP) (IPPase) (EC 3.1.3.57)",INPP1,"Homo sapiens (Human)",11
5890,Q68E01,INT3_HUMAN,reviewed,"Integrator complex subunit 3 (Int3) (SOSS complex subunit A) (Sensor of single-strand DNA complex subunit A) (SOSS-A) (Sensor of ssDNA subunit A)","INTS3 C1orf193 C1orf60","Homo sapiens (Human)",11
5947,Q7Z5L9,I2BP2_HUMAN,reviewed,"Interferon regulatory factor 2-binding protein 2 (IRF-2-binding protein 2) (IRF-2BP2)",IRF2BP2,"Homo sapiens (Human)",11
5769,O00458,IFRD1_HUMAN,reviewed,"Interferon-related developmental regulator 1 (Nerve growth factor-inducible protein PC4)",IFRD1,"Homo sapiens (Human)",11
5745,P18510,IL1RA_HUMAN,reviewed,"Interleukin-1 receptor antagonist protein (IL-1RN) (IL-1ra) (IRAP) (ICIL-1RA) (IL1 inhibitor) (Anakinra)","IL1RN IL1F3 IL1RA","Homo sapiens (Human)",11
5750,Q9NZM3,ITSN2_HUMAN,reviewed,"Intersectin-2 (SH3 domain-containing protein 1B) (SH3P18) (SH3P18-like WASP-associated protein)","ITSN2 KIAA1256 SH3D1B SWAP","Homo sapiens (Human)",11
5808,Q96RY7,IF140_HUMAN,reviewed,"Intraflagellar transport protein 140 homolog (WD and tetratricopeptide repeats protein 2)","IFT140 KIAA0590 WDTC2","Homo sapiens (Human)",11
5757,O43240,KLK10_HUMAN,reviewed,"Kallikrein-10 (EC 3.4.21.-) (Normal epithelial cell-specific 1) (Protease serine-like 1)","KLK10 NES1 PRSSL1","Homo sapiens (Human)",11
5870,Q9BWU0,NADAP_HUMAN,reviewed,"Kanadaptin (Human lung cancer oncogene 3 protein) (HLC-3) (Kidney anion exchanger adapter protein) (Solute carrier family 4 anion exchanger member 1 adapter protein)","SLC4A1AP HLC3","Homo sapiens (Human)",11
5799,Q14145,KEAP1_HUMAN,reviewed,"Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2) (Kelch-like protein 19)","KEAP1 INRF2 KIAA0132 KLHL19","Homo sapiens (Human)",11
5781,C9JM50,C9JM50_HUMAN,unreviewed,"Keratin, type I cytoskeletal 19 (Fragment)",KRT19,"Homo sapiens (Human)",11
5981,H0YIB2,H0YIB2_HUMAN,unreviewed,"Keratin, type II cytoskeletal 8 (Fragment)",KRT8,"Homo sapiens (Human)",11
5853,O60333,KIF1B_HUMAN,reviewed,"Kinesin-like protein KIF1B (Klp)","KIF1B KIAA0591 KIAA1448","Homo sapiens (Human)",11
5778,A8MW50,A8MW50_HUMAN,unreviewed,"L-lactate dehydrogenase (EC 1.1.1.27) (Fragment)",LDHB,"Homo sapiens (Human)",11
5828,Q71RC2,LARP4_HUMAN,reviewed,"La-related protein 4 (La ribonucleoprotein domain family member 4)","LARP4 PP13296","Homo sapiens (Human)",11
5908,Q6UX15,LAYN_HUMAN,reviewed,Layilin,"LAYN UNQ208/PRO234","Homo sapiens (Human)",11
5812,Q9UIC8,LCMT1_HUMAN,reviewed,"Leucine carboxyl methyltransferase 1 (EC 2.1.1.233) (Protein-leucine O-methyltransferase) ([Phosphatase 2A protein]-leucine-carboxy methyltransferase 1)","LCMT1 LCMT CGI-68","Homo sapiens (Human)",11
5872,Q9UPQ0,LIMC1_HUMAN,reviewed,"LIM and calponin homology domains-containing protein 1","LIMCH1 KIAA1102","Homo sapiens (Human)",11
5833,O43561,LAT_HUMAN,reviewed,"Linker for activation of T-cells family member 1 (36 kDa phospho-tyrosine adapter protein) (pp36) (p36-38)",LAT,"Homo sapiens (Human)",11
5741,O75145,LIPA3_HUMAN,reviewed,"Liprin-alpha-3 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-3) (PTPRF-interacting protein alpha-3)","PPFIA3 KIAA0654","Homo sapiens (Human)",11
5721,Q13094,LCP2_HUMAN,reviewed,"Lymphocyte cytosolic protein 2 (SH2 domain-containing leukocyte protein of 76 kDa) (SLP-76 tyrosine phosphoprotein) (SLP76)",LCP2,"Homo sapiens (Human)",11
5810,Q9NR34,MA1C1_HUMAN,reviewed,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC (EC 3.2.1.113) (HMIC) (Mannosidase alpha class 1C member 1) (Processing alpha-1,2-mannosidase IC) (Alpha-1,2-mannosidase IC)","MAN1C1 MAN1A3 MAN1C","Homo sapiens (Human)",11
5859,Q9NZD8,SPG21_HUMAN,reviewed,"Maspardin (Acid cluster protein 33) (Spastic paraplegia 21 autosomal recessive Mast syndrome protein) (Spastic paraplegia 21 protein)","SPG21 ACP33 BM-019 GL010","Homo sapiens (Human)",11
5904,P10721,KIT_HUMAN,reviewed,"Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)","KIT SCFR","Homo sapiens (Human)",11
5964,Q8N565,MREG_HUMAN,reviewed,"Melanoregulin (Dilute suppressor protein homolog)","MREG DSU HDCGA21P","Homo sapiens (Human)",11
5776,Q96QZ7,MAGI1_HUMAN,reviewed,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 (Atrophin-1-interacting protein 3) (AIP-3) (BAI1-associated protein 1) (BAP-1) (Membrane-associated guanylate kinase inverted 1) (MAGI-1) (Trinucleotide repeat-containing gene 19 protein) (WW domain-containing protein 3) (WWP3)","MAGI1 AIP3 BAIAP1 BAP1 TNRC19","Homo sapiens (Human)",11
5831,P78559,MAP1A_HUMAN,reviewed,"Microtubule-associated protein 1A (MAP-1A) (Proliferation-related protein p80) [Cleaved into: MAP1A heavy chain; MAP1 light chain LC2]","MAP1A MAP1L","Homo sapiens (Human)",11
5818,Q9Y3D7,TIM16_HUMAN,reviewed,"Mitochondrial import inner membrane translocase subunit TIM16 (Mitochondria-associated granulocyte macrophage CSF-signaling molecule) (Presequence translocated-associated motor subunit PAM16)","PAM16 MAGMAS TIM16 TIMM16 CGI-136","Homo sapiens (Human)",11
5953,O96007,MOC2B_HUMAN,reviewed,"Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (MOCO1-B) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B) (Molybdopterin-synthase large subunit) (MPT synthase large subunit)","MOCS2 MCBPE MOCO1","Homo sapiens (Human)",11
5893,Q96KG7,MEG10_HUMAN,reviewed,"Multiple epidermal growth factor-like domains protein 10 (Multiple EGF-like domains protein 10)","MEGF10 KIAA1780","Homo sapiens (Human)",11
5876,Q13613,MTMR1_HUMAN,reviewed,"Myotubularin-related protein 1 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)",MTMR1,"Homo sapiens (Human)",11
5811,Q9NY97,B3GN2_HUMAN,reviewed,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2 (EC 2.4.1.149) (Beta-1,3-N-acetylglucosaminyltransferase 1) (BGnT-1) (Beta-1,3-Gn-T1) (Beta3Gn-T1) (Beta-1,3-galactosyltransferase 7) (Beta-1,3-GalTase 7) (Beta3Gal-T7) (Beta3GalT7) (b3Gal-T7) (Beta-3-Gx-T7) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 7) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2) (BGnT-2) (Beta-1,3-Gn-T2) (Beta-1,3-N-acetylglucosaminyltransferase 2) (Beta3Gn-T2) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 7)","B3GNT2 B3GALT7 B3GNT1","Homo sapiens (Human)",11
5960,Q9NXA8,SIR5_HUMAN,reviewed,"NAD-dependent protein deacylase sirtuin-5, mitochondrial (EC 3.5.1.-) (Regulatory protein SIR2 homolog 5) (SIR2-like protein 5)","SIRT5 SIR2L5","Homo sapiens (Human)",11
5816,O95169,NDUB8_HUMAN,reviewed,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial (Complex I-ASHI) (CI-ASHI) (NADH-ubiquinone oxidoreductase ASHI subunit)",NDUFB8,"Homo sapiens (Human)",11
5917,O95298,NDUC2_HUMAN,reviewed,"NADH dehydrogenase [ubiquinone] 1 subunit C2 (Complex I-B14.5b) (CI-B14.5b) (Human lung cancer oncogene 1 protein) (HLC-1) (NADH-ubiquinone oxidoreductase subunit B14.5b)","NDUFC2 HLC1","Homo sapiens (Human)",11
5794,P49281,NRAM2_HUMAN,reviewed,"Natural resistance-associated macrophage protein 2 (NRAMP 2) (Divalent cation transporter 1) (Divalent metal transporter 1) (DMT-1) (Solute carrier family 11 member 2)","SLC11A2 DCT1 DMT1 NRAMP2 OK/SW-cl.20","Homo sapiens (Human)",11
5910,P43146,DCC_HUMAN,reviewed,"Netrin receptor DCC (Colorectal cancer suppressor) (Immunoglobulin superfamily DCC subclass member 1) (Tumor suppressor protein DCC)","DCC IGDCC1","Homo sapiens (Human)",11
5888,O95631,NET1_HUMAN,reviewed,"Netrin-1 (Epididymis tissue protein Li 131P)","NTN1 NTN1L","Homo sapiens (Human)",11
5948,P48645,NMU_HUMAN,reviewed,"Neuromedin-U [Cleaved into: Neuromedin-U-25 (NmU-25)]",NMU,"Homo sapiens (Human)",11
5763,Q8IY17,PLPL6_HUMAN,reviewed,"Neuropathy target esterase (EC 3.1.1.5) (Patatin-like phospholipase domain-containing protein 6)","PNPLA6 NTE","Homo sapiens (Human)",11
5817,Q9Y314,NOSIP_HUMAN,reviewed,"Nitric oxide synthase-interacting protein (E3 ubiquitin-protein ligase NOSIP) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase NOSIP) (eNOS-interacting protein)","NOSIP CGI-25","Homo sapiens (Human)",11
5941,Q8WTT2,NOC3L_HUMAN,reviewed,"Nucleolar complex protein 3 homolog (NOC3 protein homolog) (Factor for adipocyte differentiation 24) (NOC3-like protein) (Nucleolar complex-associated protein 3-like protein)","NOC3L AD24 C10orf117 FAD24","Homo sapiens (Human)",11
5773,Q8WWZ8,OIT3_HUMAN,reviewed,"Oncoprotein-induced transcript 3 protein (Liver-specific zona pellucida domain-containing protein)","OIT3 LZP UNQ826/PRO1753","Homo sapiens (Human)",11
5846,Q99983,OMD_HUMAN,reviewed,"Osteomodulin (Keratan sulfate proteoglycan osteomodulin) (KSPG osteomodulin) (Osteoadherin) (OSAD)","OMD SLRR2C UNQ190/PRO216","Homo sapiens (Human)",11
5894,Q9BXB4,OSB11_HUMAN,reviewed,"Oxysterol-binding protein-related protein 11 (ORP-11) (OSBP-related protein 11)","OSBPL11 ORP11 OSBP12","Homo sapiens (Human)",11
5844,Q96S96,PEBP4_HUMAN,reviewed,"Phosphatidylethanolamine-binding protein 4 (PEBP-4) (hPEBP4) (Protein cousin-of-RKIP 1)","PEBP4 CORK1 UNQ1933/PRO4408","Homo sapiens (Human)",11
5835,Q9NRG1,PRDC1_HUMAN,reviewed,"Phosphoribosyltransferase domain-containing protein 1","PRTFDC1 HHGP","Homo sapiens (Human)",11
5733,Q7KZ86,Q7KZ86_HUMAN,unreviewed,"Plakoglobin (Fragment)",0,"Homo sapiens (Human)",11
5920,Q9HBL7,PLRKT_HUMAN,reviewed,"Plasminogen receptor (KT) (Plg-R(KT))","PLGRKT C9orf46 AD025 MDS030","Homo sapiens (Human)",11
5768,Q8WV24,PHLA1_HUMAN,reviewed,"Pleckstrin homology-like domain family A member 1 (Apoptosis-associated nuclear protein) (Proline- and glutamine-rich protein) (PQ-rich protein) (PQR protein) (Proline- and histidine-rich protein) (T-cell death-associated gene 51 protein)","PHLDA1 PHRIP TDAG51","Homo sapiens (Human)",11
5786,Q86UU1,PHLB1_HUMAN,reviewed,"Pleckstrin homology-like domain family B member 1 (Protein LL5-alpha)","PHLDB1 KIAA0638 LL5A DLNB07","Homo sapiens (Human)",11
5847,Q9NYT0,PLEK2_HUMAN,reviewed,Pleckstrin-2,PLEK2,"Homo sapiens (Human)",11
5858,Q9H0J9,PAR12_HUMAN,reviewed,"Poly [ADP-ribose] polymerase 12 (PARP-12) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 12) (ARTD12) (Zinc finger CCCH domain-containing protein 1)","PARP12 ZC3HDC1","Homo sapiens (Human)",11
5942,B1ANR0,B1ANR0_HUMAN,unreviewed,"Polyadenylate-binding protein (PABP)","PABPC4 hCG_2031827","Homo sapiens (Human)",11
5804,Q8NCL4,GALT6_HUMAN,reviewed,"Polypeptide N-acetylgalactosaminyltransferase 6 (EC 2.4.1.41) (Polypeptide GalNAc transferase 6) (GalNAc-T6) (pp-GaNTase 6) (Protein-UDP acetylgalactosaminyltransferase 6) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 6)",GALNT6,"Homo sapiens (Human)",11
5824,Q9HCG8,CWC22_HUMAN,reviewed,"Pre-mRNA-splicing factor CWC22 homolog (Nucampholin homolog) (fSAPb)","CWC22 KIAA1604 NCM","Homo sapiens (Human)",11
5882,Q8NDH3,PEPL1_HUMAN,reviewed,"Probable aminopeptidase NPEPL1 (EC 3.4.11.-) (Aminopeptidase-like 1)","NPEPL1 KIAA1974","Homo sapiens (Human)",11
5901,Q9NY93,DDX56_HUMAN,reviewed,"Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56)","DDX56 DDX21 NOH61","Homo sapiens (Human)",11
5751,Q9Y4D8,HECD4_HUMAN,reviewed,"Probable E3 ubiquitin-protein ligase HECTD4 (EC 2.3.2.26) (HECT domain-containing protein 4) (HECT-type E3 ubiquitin transferase HECTD4)","HECTD4 C12orf51 KIAA0614","Homo sapiens (Human)",11
5968,Q8IZ08,GP135_HUMAN,reviewed,"Probable G-protein coupled receptor 135",GPR135,"Homo sapiens (Human)",11
5931,P51531,SMCA2_HUMAN,reviewed,"Probable global transcription activator SNF2L2 (EC 3.6.4.-) (ATP-dependent helicase SMARCA2) (BRG1-associated factor 190B) (BAF190B) (Protein brahma homolog) (hBRM) (SNF2-alpha) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2)","SMARCA2 BAF190B BRM SNF2A SNF2L2","Homo sapiens (Human)",11
5785,F8WDK9,F8WDK9_HUMAN,unreviewed,"Programmed cell death 6-interacting protein",PDCD6IP,"Homo sapiens (Human)",11
5980,F8WEQ7,F8WEQ7_HUMAN,unreviewed,"Programmed cell death 6-interacting protein",PDCD6IP,"Homo sapiens (Human)",11
5754,Q4J6C6,PPCEL_HUMAN,reviewed,"Prolyl endopeptidase-like (EC 3.4.21.-) (Prolylendopeptidase-like)","PREPL KIAA0436","Homo sapiens (Human)",11
5921,G3V5Z7,G3V5Z7_HUMAN,unreviewed,"Proteasome subunit alpha type (EC 3.4.25.1)",PSMA6,"Homo sapiens (Human)",11
5977,F5GY34,F5GY34_HUMAN,unreviewed,"Proteasome subunit alpha-type 8",PSMA8,"Homo sapiens (Human)",11
5881,Q8TCE6,FA45A_HUMAN,reviewed,"Protein FAM45A",FAM45A,"Homo sapiens (Human)",11
5797,Q02156,KPCE_HUMAN,reviewed,"Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)","PRKCE PKCE","Homo sapiens (Human)",11
5884,Q9ULU4,PKCB1_HUMAN,reviewed,"Protein kinase C-binding protein 1 (Cutaneous T-cell lymphoma-associated antigen se14-3) (CTCL-associated antigen se14-3) (Rack7) (Zinc finger MYND domain-containing protein 8)","ZMYND8 KIAA1125 PRKCBP1 RACK7","Homo sapiens (Human)",11
5906,Q99435,NELL2_HUMAN,reviewed,"Protein kinase C-binding protein NELL2 (NEL-like protein 2) (Nel-related protein 2)","NELL2 NRP2","Homo sapiens (Human)",11
5926,Q9BUK6,MSTO1_HUMAN,reviewed,"Protein misato homolog 1","MSTO1 LST005 SLTP005","Homo sapiens (Human)",11
5775,Q8TB73,NDNF_HUMAN,reviewed,"Protein NDNF (Neuron-derived neurotrophic factor)","NDNF C4orf31 UNQ2748/PRO6487","Homo sapiens (Human)",11
5866,Q14690,RRP5_HUMAN,reviewed,"Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11)","PDCD11 KIAA0185","Homo sapiens (Human)",11
5962,R4GN98,R4GN98_HUMAN,unreviewed,"Protein S100 (S100 calcium-binding protein) (Fragment)",S100A6,"Homo sapiens (Human)",11
5933,F5H365,F5H365_HUMAN,unreviewed,"Protein transport protein Sec23A",SEC23A,"Homo sapiens (Human)",11
